name,scenario,repetition,NumberofVehicles,Type,NodeID,TR,recAddress,x,y,MsgId,CH,Reroute,Speed,Hops,SumoDistance,MsgTime,DistanceToAccident,Delay
"BCN,200-,0",BCN,0,200,node,75,rx,-1,769.1569999999999,1415.96,56245784,176,0,9,2,382.681,15.374,381.2589067667797,2.9213000000000005
"BCN,100-,0",BCN,0,100,node,40,rx,-1,1381.84,633.804,9015077,176,0,10,6,1170.07,19.6545,618.7063367834534,6.995499999999998
"BCN,150-,0",BCN,0,150,node,67,rx,-1,1308.61,1127.5,25079893,176,0,12,3,489.542,17.0545,267.3918856285656,4.0654
"BCN,100-,0",BCN,0,100,node,96,rx,-1,1176.97,607.745,9015077,176,0,2,6,1129.01,19.6545,559.4813587823996,6.995499999999998
"BCN,200-,1",BCN,1,200,node,133,rx,-1,791.6460000000001,1381.04,77189829,176,1,5,3,350.084,14.3544,340.20010987064643,2.0723000000000003
"BCN,150-,1",BCN,1,150,node,29,rx,-1,825.605,1331.09,35157137,176,1,11,3,841.698,16.0544,280.5493737740293,2.983500000000001
"BCN,200-,0",BCN,0,200,node,49,rx,-1,860.143,1330.42,56245784,176,0,11,2,257.04,15.374,256.40498222343496,2.9213000000000005
"BCN,150-,2",BCN,2,150,node,139,rx,-1,772.67,1342.9,47312870,176,1,0,2,370.528,14.8543,326.4680446843154,2.6861999999999995
"BCN,150-,0",BCN,0,150,node,50,rx,-1,1244.94,1326.33,25079893,176,0,11,3,745.809,17.0545,268.6028415709706,4.0654
"BCN,200-,2",BCN,2,200,node,164,rx,-1,709.39,1516.27,93795832,176,0,5,4,1070.7,15.5546,495.1887499731795,2.794600000000001
"BCN,100-,2",BCN,2,100,node,92,rx,-1,1448.56,1466.52,20762704,176,0,0,7,688.3639999999999,22.4544,515.455038291411,9.5014
"BCN,150-,0",BCN,0,150,node,12,rx,-1,1168.04,1392.26,25079893,176,1,10,3,333.403,17.0545,272.8610444896815,4.0654
"BCN,100-,0",BCN,0,100,node,26,rx,-1,1538.15,599.2669999999999,9015077,176,1,11,6,1156.66,19.6545,741.9257586638978,6.995499999999998
"BCN,150-,1",BCN,1,150,node,50,rx,-1,745.337,1313.9,35157137,176,0,8,3,413.728,16.0544,337.40621335268867,2.983500000000001
"BCN,150-,2",BCN,2,150,node,132,rx,-1,996.013,1177.72,47312870,176,0,1,2,1930.73,14.8543,48.99039404822144,2.6861999999999995
"BCN,200-,1",BCN,1,200,node,115,rx,-1,794.074,1360.22,77189829,176,0,2,3,890.2489999999999,14.3544,324.5940844131328,2.0723000000000003
"BCN,200-,2",BCN,2,200,node,164,tx,-1,709.39,1516.27,93795832,176,0,5,1,1070.7,15.7393,495.1887499731795,2.9793000000000003
"BCN,200-,0",BCN,0,200,node,151,rx,-1,856.8489999999999,1431.11,56245784,176,0,8,2,686.263,15.374,336.78497751681255,2.9213000000000005
"BCN,100-,2",BCN,2,100,node,70,rx,-1,1453.95,1471.74,20762704,176,0,0,7,680.8560000000001,22.4544,522.9102148552848,9.5014
"BCN,150-,2",BCN,2,150,node,105,rx,-1,1016.91,1174.9,47312870,176,1,6,2,30.4436,14.8543,30.435614007277938,2.6861999999999995
"BCN,100-,2",BCN,2,100,node,13,rx,-1,1459.34,1476.95,20762704,176,0,0,7,673.3539999999999,22.4544,530.3606322117055,9.5014
"BCN,150-,1",BCN,1,150,node,109,rx,-1,729.957,1297.59,35157137,176,0,7,3,436.147,16.0544,343.7098194538527,2.983500000000001
"BCN,200-,0",BCN,0,200,node,21,rx,-1,861.982,1431.61,56245784,176,1,8,2,395.671,15.374,334.40629205204846,2.9213000000000005
"BCN,200-,2",BCN,2,200,node,133,tx,-1,904.16,1466.03,93795832,176,1,2,1,454.86300000000006,15.7504,345.10673392444846,2.990400000000001
